Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rasmus Kopperud Riis;1;serve;Serve;Flat;105,317802;2;0;0;deep;deuce;far;-0,66434;21,64712;deep;deuce;near;0,724383;0,019904;2,800405;down the T;Out;false;12:13:08;
Reidar Andreas Tveit;2;return;Backhand;Flat;57,105305;2;0;0;deep;ad;near;-4,105371;0,27391;out;deuce;far;-0,841346;24,476059;1,546901;inside in;In;false;12:13:09;
Rasmus Kopperud Riis;3;serve_plus_one;Backhand;Topspin;64,297211;2;0;0;deep;ad;far;0,686076;20,226582;out;ad_alley;near;-4,210533;-1,675692;0,141384;down the line;In;false;12:13:11;
Rasmus Kopperud Riis;1;serve;Serve;Slice;68,585442;3;0;0;short;deuce;far;-0,096779;14,107809;deep;ad;near;-0,616569;0,506846;2,646123;down the T;Out;false;12:13:21;
Rasmus Kopperud Riis;1;serve;Serve;Flat;114,349289;4;0;0;short;ad;far;1,796544;18,264807;deep;ad;near;-0,564551;-0,035631;2,603111;down the T;In;false;12:13:25;
Reidar Andreas Tveit;2;return;Backhand;Topspin;55,561352;4;0;0;out;ad;far;1,618217;23,898584;deep;ad;far;1,571499;24,081785;3,188735;cross court;Net;false;12:13:26;
Reidar Andreas Tveit;3;serve_plus_one;Backhand;Flat;140,488266;4;0;0;short;deuce;near;0,930119;7,351275;deep;ad;far;1,618217;21,649643;1,603863;down the line;In;false;12:13:27;
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Topspin;77,654778;4;0;0;out;deuce;far;-3,662567;23,80172;deep;deuce;near;0,881172;1,525128;0,876176;cross court;Out;false;12:13:28;
Rasmus Kopperud Riis;1;serve;Serve;Slice;108,76355;5;0;0;deep;deuce;far;-2,084099;18,304621;deep;deuce;near;0,767904;0,022945;2,682935;down the T;Out;false;12:13:41;
Reidar Andreas Tveit;2;return;Backhand;Slice;46,668533;5;0;0;short;ad;near;-3,002524;9,590492;out;deuce;far;-0,831132;24,818928;2,108908;inside in;In;false;12:13:42;
Rasmus Kopperud Riis;1;serve;Serve;Slice;116,186119;6;0;0;short;deuce;far;-1,936679;18,285097;deep;deuce;near;0,511226;0,753043;2,668512;down the T;In;false;12:13:51;
Reidar Andreas Tveit;2;return;Backhand;Slice;54,972343;6;0;0;deep;deuce;near;1,936796;2,784656;deep;deuce;far;-0,981125;23,754961;1,517556;inside out;In;false;12:13:52;
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Topspin;69,83371;6;0;0;deep;ad;far;0,340306;21,12965;out;deuce;near;2,006685;-0,264704;1,432621;down the line;In;false;12:13:54;
Reidar Andreas Tveit;4;return_plus_one;Backhand;Topspin;45,751194;6;0;0;deep;ad;near;-0,653995;4,542587;deep;ad;far;0,340306;21,775742;2,934964;cross court;In;false;12:13:55;
Rasmus Kopperud Riis;5;in_play;Forehand;Flat;80,673019;6;0;0;deep;ad;far;3,197315;21,143177;out;ad;near;-0,970642;-1,50298;0,755545;inside out;In;false;12:13:57;
Reidar Andreas Tveit;6;in_play;Backhand;Topspin;22,151503;6;0;0;out;ad;far;3,21424;24,765493;deep;ad;far;3,200977;23,550797;3,809984;cross court;Net;false;12:13:59;
Rasmus Kopperud Riis;1;serve;Serve;Flat;54,7449;8;0;0;deep;ad;far;0,178344;18,363688;deep;deuce;near;-0,099463;-0,087625;2,642348;down the T;Out;false;12:14:15;
Rasmus Kopperud Riis;1;serve;Serve;Flat;83,974648;9;0;0;short;ad;far;0,648019;16,779741;deep;ad;near;-0,254918;0,424559;2,706532;down the T;In;false;12:14:23;
Reidar Andreas Tveit;2;return;Forehand;Flat;59,126827;9;0;0;short;deuce;far;-0,773955;17,152088;deep;ad;far;0,942554;22,671782;2,541528;inside in;Net;false;12:14:24;
Reidar Andreas Tveit;1;serve;Serve;Slice;76,482491;10;0;0;short;deuce;far;-0,863622;17,182703;deep;ad;near;0,443481;0,369489;2,645665;down the T;Out;false;12:14:57;
Rasmus Kopperud Riis;2;return;Backhand;Flat;74,863136;10;0;0;deep;ad;near;-1,166537;4,650535;deep;deuce;far;-0,863622;23,234093;1,709051;inside in;In;false;12:14:58;
Reidar Andreas Tveit;3;serve_plus_one;Backhand;Flat;55,118729;10;0;0;short;deuce;near;0,730515;10,042593;deep;ad;near;-1,056997;0,396389;1,521311;down the line;Net;false;12:15:00;
Reidar Andreas Tveit;1;serve;Serve;Flat;113,973343;11;0;0;deep;ad;far;1,445593;22,26367;deep;ad;near;-0,771265;0,907372;2,802854;down the T;Out;false;12:15:13;
Rasmus Kopperud Riis;2;return;Forehand;Flat;40,54335;11;0;0;short;ad;far;1,19276;13,564449;out;ad;far;1,601401;24,440054;2,214179;inside out;Net;false;12:15:14;
Reidar Andreas Tveit;1;serve;Serve;Slice;100,195869;12;0;0;short;ad;far;1,64887;16,470987;deep;ad;near;-0,556206;-0,35764;3,048288;down the T;In;false;12:15:21;
Rasmus Kopperud Riis;2;return;Forehand;Flat;62,184555;12;0;0;deep;ad;near;-0,727313;2,046474;deep;ad;far;1,266071;21,601328;2,197342;inside out;In;false;12:15:22;
Reidar Andreas Tveit;3;serve_plus_one;Forehand;Flat;65,956551;12;0;0;deep;deuce;far;-1,077865;22,072392;out;ad;near;-0,859251;-0,985264;1,16681;inside in;In;false;12:15:24;
Reidar Andreas Tveit;1;serve;Serve;Flat;130,959961;13;0;0;deep;deuce;far;-1,038127;20,042406;deep;deuce;near;0,562011;0,077205;2,658106;down the T;Out;false;12:15:48;
Rasmus Kopperud Riis;2;return;Backhand;Flat;42,189201;13;0;0;short;ad;far;0,64733;14,950462;deep;deuce;far;-0,24792;24,369005;1,832266;inside in;Net;false;12:15:50;
Reidar Andreas Tveit;1;serve;Serve;Flat;130,751678;14;0;0;short;ad;far;2,401462;18,270769;deep;ad;near;-0,567799;0,921308;2,853441;out wide;In;false;12:16:06;
Rasmus Kopperud Riis;2;return;Forehand;Flat;53,214664;14;0;0;short;ad;near;-2,808719;6,218413;deep;ad;far;2,149892;23,164867;1,620274;inside out;In;false;12:16:07;
Reidar Andreas Tveit;3;serve_plus_one;Backhand;Slice;72,937447;14;0;0;deep;ad;far;1,255808;21,97649;deep;ad;near;-4,005979;0,842161;1,851737;cross court;In;false;12:16:10;
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Slice;34,941994;14;0;0;short;deuce;near;1,711681;10,540303;deep;ad;far;1,255808;22,622581;2,84938;inside in;In;false;12:16:11;
Reidar Andreas Tveit;1;serve;Serve;Flat;68,368317;16;0;0;short;ad;near;-0,538011;6,119807;deep;deuce;near;0,34874;0,51189;2,620042;down the T;Net;false;12:16:26;
Reidar Andreas Tveit;1;serve;Serve;Flat;69,822174;17;0;0;deep;deuce;far;-3,955158;18,308119;deep;deuce;near;0,468192;-0,055466;2,757431;out wide;Out;false;12:16:35;
Rasmus Kopperud Riis;2;return;Forehand;Slice;53,369869;17;0;0;deep;deuce;near;2,355521;5,456199;out;deuce_alley;far;-4,14415;25,493134;1,130222;down the line;In;false;12:16:36;
Reidar Andreas Tveit;3;serve_plus_one;Forehand;Slice;51,018387;17;0;0;short;ad;far;1,058977;18,224731;deep;deuce;near;0,996907;2,921108;2,706252;down the line;In;false;12:16:39;
Reidar Andreas Tveit;1;serve;Serve;Flat;43,037167;18;0;0;short;ad;near;-0,311072;10,172619;deep;deuce;near;-0,924543;0,474925;2,823281;down the T;Net;false;12:16:49;
Reidar Andreas Tveit;1;serve;Serve;Flat;94,725281;19;0;0;deep;ad;far;0,199086;18,30979;out;ad;near;-0,495405;-0,248038;2,566706;down the T;Out;false;12:16:58;
Rasmus Kopperud Riis;2;return;Forehand;Topspin;65,176888;19;0;0;deep;deuce;near;1,264504;3,231525;out;ad;far;0,964955;24,679274;3,557518;inside in;In;false;12:16:59;
Reidar Andreas Tveit;1;serve;Serve;Flat;89,774742;20;0;0;deep;deuce;far;-1,395812;19,438017;deep;deuce;near;0,559895;1,178399;2,825631;down the T;Out;false;12:17:08;
Rasmus Kopperud Riis;2;return;Backhand;Flat;40,799114;20;0;0;short;deuce;far;-1,684598;17,077103;out;deuce;far;-1,15938;25,224039;1,014217;inside out;Net;false;12:17:10;
Reidar Andreas Tveit;1;serve;Serve;Flat;80,67627;21;0;0;short;ad;far;0,802277;11,927505;deep;ad;near;-0,611304;-0,029647;3,170954;down the T;In;false;12:17:27;
Rasmus Kopperud Riis;1;serve;Serve;Flat;156,946289;23;0;0;short;deuce;near;2,227561;6,519302;deep;deuce;far;-0,191456;23,425589;4,348172;down the T;In;false;12:17:50;
Reidar Andreas Tveit;2;return;Backhand;Flat;61,636257;23;0;0;deep;deuce;far;-1,658075;20,456562;out;deuce;near;2,594023;-1,774618;1,428247;inside out;In;false;12:17:51;
Rasmus Kopperud Riis;1;serve;Serve;Flat;202,85849;24;0;0;deep;ad;near;-1,213779;4,414729;deep;ad;far;0,308401;22,894987;3,589194;down the T;Out;false;12:18:01;
Rasmus Kopperud Riis;1;serve;Serve;Flat;97,366867;25;0;0;short;deuce;far;-0,718913;17,76152;short;ad;far;0,189526;23,452425;4,229982;down the T;Net;false;12:18:10;
Rasmus Kopperud Riis;1;serve;Serve;Flat;144,786179;26;0;0;short;deuce;near;2,681756;6,564422;deep;deuce;far;-0,209242;23,471222;4,052451;out wide;In;false;12:18:20;
Reidar Andreas Tveit;2;return;Forehand;Flat;70,619415;26;0;0;deep;deuce;far;-2,158562;23,10577;out;deuce;near;3,603283;-0,543617;1,260371;cross court;In;false;12:18:21;
Rasmus Kopperud Riis;3;serve_plus_one;Backhand;Topspin;38,882305;26;0;0;out;deuce;far;-2,562397;23,783424;deep;deuce;far;-2,158562;23,751862;3,060561;inside out;Net;false;12:18:24;
Rasmus Kopperud Riis;1;serve;Serve;Flat;149,505981;27;0;0;short;ad;near;-4,002264;6,019402;deep;ad;far;0,399907;23,244484;3,757228;out wide;In;false;12:18:37;
Reidar Andreas Tveit;2;return;Backhand;Slice;68,264626;27;0;0;deep;ad;far;0,300626;21,452328;out;ad;near;-3,6724;-1,373509;1,159741;cross court;In;false;12:18:38;
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Topspin;48,155796;27;0;0;deep;deuce;near;4,103293;5,419971;deep;ad;far;0,300626;22,098419;2,696628;inside in;In;false;12:18:39;
