Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rasmus Kopperud Riis;1;serve;Serve;Flat;69,737114;92;0;0;short;deuce;far;-1,397887;12,053406;deep;ad;far;0,302075;23,646969;3,208025;down the T;Net;false;07:49:43;1828,550049
Rasmus Kopperud Riis;1;serve;Serve;Flat;116,203011;93;0;0;deep;ad;near;-1,098522;5,483497;deep;ad;far;-0,222753;23,643412;3,651355;down the T;Out;false;07:49:49;1834,579956
Rikard Rykkvin;2;return;Forehand;Topspin;72,875984;93;0;0;short;deuce;far;-2,478248;18,266895;out;ad;near;-1,111521;-1,18986;1,214758;inside in;In;false;07:49:50;1835,650024
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Flat;62,58857;93;0;0;deep;deuce;near;2,071727;5,059289;deep;deuce;far;-1,722213;22,816984;1,780185;cross court;In;false;07:49:52;1837,47998
Rikard Rykkvin;4;return_plus_one;Forehand;Topspin;67,962433;93;0;0;out;ad;far;2,280738;23,929573;deep;deuce;near;2,504351;0,155529;0,837893;down the line;Out;false;07:49:54;1839,050049
Rasmus Kopperud Riis;1;serve;Serve;Flat;173,911743;94;0;0;short;ad;near;-1,449363;6,070477;short;ad;far;-0,725897;23,600822;3,146878;down the T;In;false;07:50:16;1861,290039
Rikard Rykkvin;2;return;Forehand;Topspin;75,629486;94;0;0;out;ad_alley;far;4,276449;25,011168;out;ad;near;-1,370452;-0,629435;1,184627;inside in;Out;false;07:50:17;1862,060059
Rikard Rykkvin;3;serve_plus_one;Forehand;Topspin;41,876797;94;0;0;deep;center_line;far;0,019694;18,638323;short;deuce;near;2,180192;8,62812;4,329092;down the line;In;false;07:50:19;1864,079956
Rasmus Kopperud Riis;1;serve;Serve;Flat;168,956009;95;0;0;short;deuce;near;1,849038;8,241657;short;deuce;far;-0,008038;23,439278;3,790794;down the T;In;false;07:50:29;1874,699951
Rikard Rykkvin;2;return;Forehand;Topspin;83,70015;95;0;0;deep;ad;far;3,244408;19,051567;deep;deuce;near;3,06409;1,303061;1,686427;down the line;In;false;07:50:30;1875,579956
Rasmus Kopperud Riis;3;serve_plus_one;Backhand;Slice;71,674644;95;0;0;deep;ad;near;-3,699659;4,270722;out;ad;far;2,361356;24,655243;0,668162;cross court;In;false;07:50:32;1877,300049
Rikard Rykkvin;4;return_plus_one;Backhand;Slice;62,91626;95;0;0;deep;ad;far;1,122107;18,366791;deep;ad;near;-3,972997;0,159098;0,937888;cross court;In;false;07:50:34;1879,030029
Rasmus Kopperud Riis;5;in_play;Forehand;Flat;62,335117;95;0;0;deep;deuce;near;3,133417;2,306685;deep;ad;far;1,144941;21,522009;2,804623;inside in;In;false;07:50:35;1880,599976
